,wavelength (nm),C,R,G,B
145,1025,5.88087331841614,6.13373111751978,5.97437812031093,5.76517368697642
146,1030,5.56497529300609,5.79622360832407,5.64541287862198,5.4563650064151
147,1035,5.25720643961056,5.46873688278373,5.33218819770067,5.15886780898582
148,1040,4.93747060105646,5.12150148213965,4.99942183081288,4.8474328981401
149,1045,4.61186689697246,4.77397606355508,4.66718268468932,4.53804824730836
150,1050,4.28139740291763,4.4265644227901,4.3319687177063,4.21681636096543
151,1055,3.92678779186849,4.05488398051105,3.97500223334275,3.8751347460222
152,1060,3.54744169215368,3.65233403327298,3.58550503544926,3.49799987235197
153,1065,3.17785984512434,3.26877868426009,3.21831267592206,3.14264498915515
154,1070,2.92771284809404,3.00128970621637,2.96009752955479,2.89728459473755
155,1075,2.68314822746986,2.75002626556143,2.71724969265778,2.66124660483538
156,1080,2.46327086678574,2.52394813816146,2.49494941563466,2.45086736973766
157,1085,2.26073639090082,2.31137810779893,2.28776087674866,2.2475022972609
158,1090,2.05721965726614,2.09968678656886,2.08152968529206,2.04808792827265
159,1095,1.88149811174478,1.92093354865002,1.90609028709919,1.87083776998953
160,1100,1.69266642195082,1.72594018088714,1.71808519436471,1.68766535877785
